d,BD6,DF132,LD12,KD42
1242,19121,20117,18483,19944
1243,19138,20127,18496,19956
1244,19153,20138,18509,19967
1245,19165,20148,18523,19978
1246,19175,20160,18537,19990
1247,19183,20172,18552,20003
1248,19191,20185,18568,20016
1249,19200,20197,18583,20029
1250,19209,20207,18599,20041
1251,19219,20217,18615,20053
1252,19229,20224,18630,20065
1253,19238,20231,18643,20076
1254,19247,20237,18655,20087
1255,19254,20244,18665,20098
1256,19260,20250,18673,20109
1257,19267,20256,18681,20118
1258,19273,20261,18688,20126
1259,19281,20265,18695,20132
1260,19289,20268,18702,20135
1261,19296,20269,18708,20136
1262,19302,20269,18712,20135
1263,19305,20266,18714,20132
1264,19304,20260,18713,20127
1265,19299,20253,18709,20121
1266,19290,20246,18703,20113
1267,19280,20238,18694,20103
1268,19269,20231,18684,20093
1269,19259,20223,18674,20081
1270,19248,20215,18662,20068
1271,19237,20205,18650,20052
1272,19225,20192,18638,20036
1273,19212,20177,18625,20019
1274,19198,20161,18612,20003
1275,19183,20145,18601,19989
1276,19170,20133,18592,19980
1277,19159,20124,18585,19974
1278,19152,20120,18579,19972
1279,19148,20119,18575,19974
1280,19146,20120,18570,19976
1281,19146,20120,18565,19976
1282,19147,20118,18560,19974
1283,19147,20115,18556,19969
1284,19146,20111,18553,19960
1285,19145,20107,18552,19951
1286,19145,20105,18554,19944
1287,19145,20103,18558,19939
1288,19146,20103,18564,19937
1289,19147,20101,18569,19937
1290,19148,20099,18573,19938
1291,19148,20096,18575,19940
1292,19149,20094,18577,19943
1293,19152,20093,18579,19948
1294,19158,20096,18583,19956
1295,19166,20102,18589,19965
1296,19175,20110,18599,19976
1297,19185,20120,18611,19985
1298,19194,20131,18623,19994
1299,19201,20143,18634,20000
1300,19208,20154,18644,20006
1301,19214,20164,18654,20012
1302,19221,20173,18662,20020
1303,19230,20179,18672,20029
1304,19239,20182,18681,20040
1305,19249,20181,18692,20052
1306,19260,20179,18703,20062
1307,19270,20177,18713,20072
1308,19281,20178,18723,20079
1309,19291,20182,18733,20086
1310,19301,20189,18742,20092
1311,19311,20199,18753,20100
1312,19322,20209,18766,20109
1313,19334,20221,18781,20121
1314,19348,20234,18799,20137
1315,19363,20250,18818,20156
1316,19381,20270,18839,20177
1317,19400,20291,18859,20199
1318,19420,20314,18879,20222
1319,19441,20334,18898,20244
1320,19461,20352,18915,20264
1321,19480,20366,18932,20283
1322,19499,20378,18950,20302
1323,19518,20392,18969,20322
1324,19538,20408,18991,20342
1325,19561,20429,19016,20365
1326,19586,20455,19044,20390
1327,19613,20483,19074,20418
1328,19641,20513,19104,20446
1329,19670,20541,19135,20475
1330,19697,20568,19166,20503
1331,19725,20592,19195,20530
1332,19751,20614,19224,20556
1333,19778,20634,19252,20581
1334,19802,20651,19278,20603
1335,19823,20665,19302,20623
1336,19840,20673,19322,20640
1337,19851,20676,19338,20651
1338,19855,20676,19349,20658
1339,19855,20672,19355,20658
1340,19850,20669,19357,20655
1341,19843,20665,19354,20647
1342,19834,20660,19347,20637
1343,19822,20653,19337,20626
1344,19808,20643,19322,20612
1345,19791,20628,19305,20595
1346,19770,20610,19285,20576
1347,19748,20590,19263,20554
1348,19725,20570,19240,20531
1349,19703,20550,19217,20508
1350,19682,20530,19194,20485
1351,19662,20510,19172,20462
1352,19642,20490,19150,20438
1353,19621,20469,19130,20414
1354,19600,20447,19110,20390
1355,19579,20426,19092,20367
1356,19558,20407,19077,20345
1357,19540,20389,19064,20327
1358,19525,20373,19055,20313
1359,19514,20360,19048,20302
1360,19508,20348,19042,20295
1361,19504,20338,19038,20290
1362,19503,20331,19034,20287
1363,19503,20327,19031,20286
1364,19504,20325,19029,20287
1365,19507,20325,19028,20290
1366,19511,20326,19030,20295
